,Location,Life span,Overweight(%),High Blood Glucose(%),High Blood Pressure(%),High Cholesterol(%),NCD death probability(%),Malignant neoplasms death(%),Diabetes mellitus death(%),Cardiovascular death(%),Chronic obstructive pulmonary death(%)
106,Montenegro,76.8,59.4 [54.3-64.3],7.1 [4.4-10.7],29.1 [22.4-36.1],48.3 [30.3-65.9],20.6,0.2265368556811968,0.0255073166143501,0.6035668793870592,0.029652255564181988
107,Morocco,75.96,60.4 [55.6-65],13.7 [9.7-18.8],26.1 [20-32.9],37.2 [23.9-51.8],12.4,0.07400443326269106,0.03030495064748399,0.19773517680810668,0.018336701467397312
108,Mozambique,60.1,26.4 [22.4-30.7],6.4 [4-9.4],29.1 [22.2-36.6],26 [16.7-36.8],18.4,0.0746714059287968,0.009716158107476374,0.08533258976935983,0.010474334646188474
109,Myanmar,66.8,24.8 [20.9-28.8],7.4 [4.9-10.5],24.6 [18.5-31.1],30.4 [16.5-47.2],24.2,0.10173399481449771,0.03182568888091079,0.20397510432565252,0.0673934694825068
110,Namibia,63.68,40.6 [35.7-45.7],7.4 [4.7-11],28.5 [22.3-35],33.1 [17.2-51.8],21.3,0.04206876546832884,0.0352410726856666,0.13922556152472135,0.03078822956653905
111,Nepal,70.21,21 [17.5-24.9],10.6 [7.3-14.4],29.4 [23.6-35.7],23.2 [11.8-38.1],21.8,0.06253431794898881,0.024043196325627406,0.2022012637441437,0.06951436411339293
112,Netherlands,81.63,57.8 [53.7-61.6],4.3 [2.9-6.2],18.7 [14.4-23.7],60.5 [44.6-74.6],11.2,0.2786243797215582,0.017843172645650784,0.22455308888579398,0.06385264719366054
113,New Zealand,82.25,65.6 [62.4-68.8],6.9 [4.6-9.7],16.2 [12.3-20.8],56.2 [38.1-72.4],10.1,0.19490198561361072,0.018887099145466074,0.20340118022907044,0.04741091137765291
114,Nicaragua,75.48,58.2 [53.3-62.8],10.1 [6.5-14.7],20.8 [15.1-27.3],30 [16.3-46.7],14.2,0.06538736700840898,0.025999489210767186,0.11380130298843427,0.016513403458455544
115,Niger,59.83,22 [18.1-26.4],5.6 [3.3-8.8],33.4 [25.9-41.4],15.2 [7.2-27.5],20.0,0.026788477193164063,0.012256606192885983,0.1075098698630305,0.018120343614050825
116,Nigeria,55.19,28.9 [25.2-32.9],6.2 [3.9-9.1],23.9 [18.7-29.5],16.8 [8.3-29.8],22.5,0.04385399709413158,0.013879848426096925,0.12131732845005302,0.01773712450065402
117,Norway,82.48,58.3 [54.2-62.2],5.1 [3.2-7.4],19.7 [14.7-25],61.9 [46.3-75.9],9.2,0.2164941581999448,0.012969081785200773,0.2212171130938211,0.059722526399984766
